id,title,description,rism,date,century,century_id,provenance,provenance_detail,provenance_id,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path
source_070,"Paris, Bibliothèque nationale de France - Département des Manuscrits, latin 12601","Hourlier believed that lat. 12601 originated at Cluny and was later used in the Picard monastery of St. Taurin l&#39;Echelle. Recently Manuel Pedro Ferreira has called attention to the presence in the source of two different types of neumes--both French and Laon (Lorraine)--that appear to be roughly contemporaneous, suggesting that the manuscript originated in a place in which the two coexisted. He believes that the manuscript cannot have originated at Cluny itself because of the manuscript&#39;s ""notational, liturgical, paleographical and artistic oddities."" All chants not found in CAO are assigned an arbitrary number beginning with ""clu"". The manuscript contains no differentiae, with only one exception (assigned to the single antiphon written in staff notation, on f. 78r, for Taurinus, which has been given an arbitrary number).",F-Pnm,1075 c.,,,St. Taurin,St. Taurin,provenance_180,cantus,Cluniac breviary dating from between 1064 and 1095 used in the monastery of St. Taurin l'Echelle. Probably copied for St. Taurin in a Cluniac priory in the southeastern area of the diocese of Amiens (perhaps Lihons-en-Sangterre). 335 x 237 mm. Non-diastematic neumes. Monastic cursus. 271 folios. Summer only.,The index for F-Pn lat. 12601 was prepared by Keith Glaeske at The Catholic University of America.,"Ff. 11r-16r: Ferial Office. Ff. 16v-22r: Kalendar. F. 24v, Trinity.
Ff. 30r-184v: Summer Sanctorale. 30r, John the Baptist; 40v, Paul; 74v, Laurence; 103v, Julianus; 134v, Denis; 143v, All Saints.
Ff. 187v-207r: Common of Saints (203r, Dedication of a Church).
Ff. 207v-267v: Summer Histories intermixed with Sundays after Pentecost. Ff. 268r-271: Dedication of a Church (incomplete).",by 1997,http://cantus.uwaterloo.ca/source/123630
source_071,"München, Bayerische Staatsbibliothek, Clm 17 018",For chapel of St. Udalricus at Schäftlarn.  Contains music for mass of St. Udalricus.,D-Mbs,1464,15th century (1450-1475),century_1450_1474,Schäftlarn,Schäftlarn,provenance_157,bower,,,,,http://cantus.uwaterloo.ca/source/124044
source_072,"Chicago, Newberry Library, 24","A number of late additions (to the kalendar and in other marginal notes) suggest an association with Perugia (see van Dijk, 1956), but the location where the manuscript was first produced is uncertain. The manuscript has been at the Newberry Library since the late nineteenth century. The differentiae of each mode have been numbered with a two-digit system: an upper-case letter indicating the final pitch of the differentia and a sequentially ordered numeral. Differentiae that vary in terms only of immediately repeated notes, presence/absence of liquesence or neumation are give the same differentia code, but are distinguished with a lowercase letter in the first column of the &ldquo;Extra&rdquo; field.The codes for differentiae and chants not found in CAO in this index are consistent with those used for the other Franciscan manuscripts in the database:Assisi, Biblioteca comunale, 693Assisi, Biblioteca comunale, 694Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5Budapest, Egyetemi Könyvtár (University Library), lat. 118, 119, 122, 121Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, lat. 8737Fribourg (Switzerland), Bibliothèque des Cordeliers, 2München, Bayersiche Staatsbibliothek, 12o Cmm 1 (St. Anna Kloster)Napoli, Biblioteca nazionale Vittorio Emanuele III, vi. E. 20",US-Cn,1200s,13th century,century_1200_1299,Italy,Italy,provenance_071,cantus,"Franciscan breviary from central Italy. Thirteenth century, possibly from the first half. 197 x 140 mm. Central-Italian staff notation. Cathedral Cursus. 266 folios and 2 paper flyleaves.",The index for US-Cn 24 was prepared by Andrew Mitchell (University of Western Ontario).,"Ff.1-3: Various additions, identified by van Dijk (1956). Ff. 4-30: Psalter. Ff. 30-33: Franciscan litany; Kalendar.
Ff. 34-160: Temporale. 34r, First Sunday of Advent; 50r, Christmas; 52v, Stephen; 62v, Epiphany; 68r, Dominical and Ferial Offices; 79r, Septuagesima; 86v, Ash Wednesday; 111r, Triduum; 117r, Easter; 132v, Pentecost; 135v, Histories. Ff. 160-164: Lessons, General Rubrics.
Ff. 164v-235v: Sanctorale. 164v, Andrew; 167v, Lucy; 170r, Agnes; 173v, Purification; 175v, Agatha; 186r, John the Baptist; 189r, Peter and Paul; 198v, Laurence; 201r, Assumption; 205v, Nativity of Mary; 209v, Michael; 212r, Francis; 216r, Elizabeth of Hungary; 217r, Clare of Assisi; 218v, Mary of the Snows; 229r, All Saints; 231r, Martin; 233r, Cecilia; 235r, Clement.
Ff. 236r-247v: Common of Saints. Ff. 247v-249v: Dedication of a Church. Ff. 249v-250r: Votive Offices for Mary. Ff. 250r-253v: Office of the Dead. Ff. 253v-257v: Invitatory tones. Ff. 258r-260r: Additions, identified by van Dijk (1956). Ff. 260v-263v: Corpus Christi Office. Ff. 264v-265r: Office for Anthony of Padua. Ff. 265v-266v: Additional material, identified by van Dijk (1956).",12 February 2004,http://cantus.uwaterloo.ca/source/123671
source_073,"Wolfenbüttel, Herzog August Bibliothek 45 (Helmst. 40)","Les sources, p. 154:  XIIIe siècle.  L’origine du manuscrit est difficile ŕ déterminer, car le Calendrier contient beaucoup de Saints de diverses provinces d’Allemagne:  il y a cependant prédominance de Saints de l’Ouest de l”Allemagne et quelques Saints de l”Est de la France.  ...Notation gothique reénane sur 4 lignes.",D-W,"13. c (Les sources), first half (cmb)",13th century (1st half),century_1200_1249,Germany,"Germany, a Benedictine foundation",provenance_060,bower,,,,,http://cantus.uwaterloo.ca/source/123966
source_074,"Münster, Universitäts- und Landesbibliothek, Hs 41","Eef Overgaauw, Die mittelalterlichen Handschriften der Universitäts- und Landesbibliothek Münster.  Wiesbaden:  Harrassowitz Verlag, 1996.  Pp. 60-66.",D-MÜu,um 1420-1430 (Overgaauw),15th century (1425-1450),century_1425_1449,Utrecht,Utrecht (? Overgaauw),provenance_196,bower,,,,,http://cantus.uwaterloo.ca/source/124037
source_075,"Citta Vaticana, Biblioteca Vaticana, Vat. lat. 5319",,I-Rvat,late 11th or early 12th (Stäblein),11th century (1075-1100),century_1075_1099,Rome,Rome,provenance_146,bower,,,,,http://cantus.uwaterloo.ca/source/123847
source_076,"Trier, Stadtbibliothek Weberbach Trier, F-dsjj (fragment)",,D-TRs,,14th century (2nd half),century_1350_1399,,,,cantus,,,,,http://cantus.uwaterloo.ca/source/696538
source_077,"Graz, Universitätsbibliothek, Ms. 211; Antiphonale ""Codex Albensis""",,,,12th century (1100-1125),century_1100_1124,,Hungary / Transylvania,,cantus,,,,,http://cantus.uwaterloo.ca/source/653927
source_078,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 7/11","Collection of Sequences for bMv:a — additions at beginningb — two sequencesc — first complete cycle (alphabetical)d — second cycle (alphabetical)e— Zusätze    added by later hand.  f— later additionsDavid Hiley. Quae pia, quae religiosa, quae recta ...  Über die Vielfalt mittelalterlicher Gesangstraditionen, dargestellt am Beispiel der Choralhandschriften aus Neresheim, Obermarchtal und Regensburg. In Choralhandschriften in Regensburger Bibliotheken, 10-24. Regensburg: Verlag Schnell & Steiner, 1999.Herr Thomayer:  earliest of Neresheim manuscripts, early",D-Rtt,ca. 1500 ? (Thomayer),16th century (1500-1525),century_1500_1524,Neresheim,Neresheim,provenance_106,bower,,,,,http://cantus.uwaterloo.ca/source/124083
source_079,"Montréal, McGill University - Humanities and Social Sciences Library McLennan-Redpath, MS medieval 169 (fragment)","""Vellum. In Latin. One leaf, 15th century, northern Italian. In Gothic Textualis. 373x270 mm.; writing surface 275x200 mm. Two columns, 36 lines, brown ink. Writing surface ruled in light brown ink. Red rubrics. Roman numeral CX (?) on recto. 
 
Contents: From Vigilia and die Ascensionis. r. Vigilia. c. I. descendit ipse est et qui ascendit (Ephesians)....In illo tempore, sublevatis Jesus oculis in caelum (John)....esset apud te. Manife-  c. II stavi nomen tuum....illud tendat christiane devotionis 
v. c. I. affectus quo tecum.... In die Ascensionis (red rubric). Viri Galilaei quid admiramini (Introitus)... Concede quaesumus omnipotens (Oratio)... 
Primum quidem sermonem feci (Acts)....assumptus est. Qui- c. II. bus et prebuit se ipsum....Galilei quid statis aspi-(cientes) 
 
Decoration: r. Very thin and long, sixteen-line initial (I), on left margin of c. I, in blue. v. On c. I ten-line initial (U), enclosed in square ground. Initial is in grey, decorated with grey and white arabesques and geometric patterns. It rests on gold leaf ground, bound by 010 mm. wide borders in red and green sections. Letters of -IRI GALILAEI, in red and blue run vertically along the right side of the initial. Between the stems of the initial appear the feet of an ascending figure (Christ ?), wearing a red mantle. The four-quarter border decoration on verso, contains branchwork and acanthus leaf work, in green, crimson, grey, gold and blue. A few irises and calices in blue stem from the branches. There are bezants throughout."" 

(Holland, Anne Marie, compiler. ""MS Medieval 169. Missal"". Long Descriptions Ms Medieval Manuscript Antiphonals, Missals and Graduals. Digitization and Cataloguing Project- Antiphonals, Missals and Gradual. Updated December 6, 2018), 19-20.",CDN-Mlr,,15th century,century_1400_1499,Italy,Northern Italy,provenance_071,cantus,"Missal, one leaf, Italian, 15th century",,,,http://cantus.uwaterloo.ca/source/693578
source_080,"Austin, Harry Ransom Center, HRC Leaf A39","From the Ransom Center: ""1 leaf: paper, 412 x 295 mm. Written in Latin, late gothic textualis script. Layout is six long lines of text alternating with square musical notation on 4-line red staves. Decoration includes red and blue initials.""

Leaves HRC A36 through HRC A40 contain the entire Nicene Creed, but it is not continuous. The leaves were taken from the same 15th- or 16th-century choirbook. Donated to the Ransom Center by H. L. Williford in 1961.",US-AUS,15th-16th century,16th century,century_1500_1599,Italy,,provenance_071,cantus,,,,,http://cantus.uwaterloo.ca/source/673021
source_081,"Madrid, Biblioteca Nacional, V.20-4","See Hiley, Das Repretoire der nomado-sizilischen Tropare I.  Die Sequenzen (MMMA XIII), pp. XV-XVI.Les Sources, p. 67Note:  Victimae paschalis imbedded in Peregrinus play.",E-Mn,1050 (1130-1154 ) (Hiley),12th century (1125-1150),century_1125_1149,Palermo Cathedral,Palermo Cathedral,provenance_120,bower,,,,,http://cantus.uwaterloo.ca/source/123893
source_082,"Utrecht, Catharijneconvent,  BMH h. 21","W.C.M. Wüstefeld, Middeleeuwse Boeken von het Catharijneconvent. Zwolle, Utrecht, 1993.no 43:Graduale van of voor pater Heer Gerrit en frater Ludz te Hoorn Graduale Traiectense Noord-Holland, vor/door pater Heer Gerrit en/of frater Ludz ca. 1500-1520 232 f.  384x280 (263x185)  1 kol.  littera textualis, Note notational subtlety in sequentiary---exemplified in Gaudeat Hyspania--- two forms of podatus.  one with longer first note (transcribed as double) two forms of climacus.  one with double last note.",NL-Uc,1500-1520 (Wüstefeld),16th century (1500-1525),century_1500_1524,"Netherlands, North",North Holland (Wüstfeld),provenance_107,bower,,,,,http://cantus.uwaterloo.ca/source/124087
source_083,"München, Universitätsbibliothek, 2Ý Cod. ms. 156",,D-Mu,1360,14th century (1350-1375),century_1350_1374,Moosburg,Moosburg,provenance_102,bower,,,,,http://cantus.uwaterloo.ca/source/124000
source_084,"Torino, Biblioteca nazionale F. IV. 18",,I-Tn,12th c.,12th century,century_1100_1199,Bobbio,Bobio,provenance_024,bower,,,,,http://cantus.uwaterloo.ca/source/123871
source_085,"München, Bayerische Staatsbibliothek, Clm 9508","f. 1rLiber votivalis et festivitatum scilicet armorum domini, visitationis Mariae, Anne matris Mariae, transfigurationis domini, Barbarae virginis ac plurimorum contentorum in libro isto.  Quem librum scribi procinavit fecit et collegit venerabilis in Xo pater et dominus dominus Iohannes abbas monasterii Althe superioris ordinis sancti Benedicti Rat. diocesis. anno domini millessimo quadringentesimo qui[n]quagesimo secundo.",D-Mbs,1452 (see below),15th century (1450-1475),century_1450_1474,Ober Alteich,Ober Alteich,provenance_115,bower,,,,,http://cantus.uwaterloo.ca/source/124043
source_086,"München, Bayerische Staatsbibliothek, Clm 19 242",,D-Msb,12th c. probably last third,12th century (2nd half),century_1150_1199,Tegernsee,Tegernsee,provenance_184,bower,,,,,http://cantus.uwaterloo.ca/source/123918
source_087,"Bern, Burgerbibliotek, A. 421",,CH-BEsu,13th c,13th century,century_1200_1299,France,France?,provenance_056,bower,,,,,http://cantus.uwaterloo.ca/source/123927
source_088,"Great Britain, Corpus Christi College, Cambridge, Ms. 146",,GB-Ccc,c.1000,11th century,century_1000_1099,English,Canterbury/Winchester/Worcester,provenance_049,cantus,,,,,http://cantus.uwaterloo.ca/source/674988
source_089,"Berlin, Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Mus. 40047","Quedlinburg was an important political and spiritual centre of Saxony in the tenth and eleventh centuries, closely associated with the Ottonian dynasty; it was likely both the place of origin and the intended destination of both the calendar and the antiphoner. These were likely copied between the years 1025 and 1070 (Möller, vol. 1, 32-8). Möller also suggests that these two documents could have been drafted independently of one another (ibid., 21). The original script of the antiphoner is supplemented by numerous marginal additions by later hands. These additions have been included in the index with identifiers in the &ldquo;marginalia&rdquo; field of the index (see the Widescreen File Description). In places where these additions are illegible in the facsimile, Möller&rsquo;s transcriptions have been adopted in the index. Of particular interest are the chants for Godehard (77r, marginal), Servatius (079r, main text), the Translation of Justa (093r, marginal), the Translation of Servatius (93v, marginal), and the Passion of Laurentia (099v, marginal). Godehard was appointed bishop of Hildesheim (near Quedlinburg) by the Ottonian Henry II in the early eleventh century. The most prominent church in Quedlinburg is dedicated to Servatius, the first bishop of Tongeren, and his relics were translated to Quedlinburg from Maastricht (Servatius&rsquo;s final resting place) in the tenth century (Zender, et al., p. 25 and Map 28). The identity of Justa in this manuscript is currently unknown. Relics of a &ldquo;Jungfrau Laurentia&rdquo; were obtained by King Otto I (912-973) during his exploits in Italy and brought to Quedlinburg (Schramm and Mütherich, p. 27), but whether this is the same person has not yet been substantiated. The rubric ""post b"" is found a number of times in the added marginalia of the Quedlinburg antiphoner, always preceding an antiphon, either at the end of Lauds or at the end of Vespers. The rubric is sometimes given as ""post benedicam"" (= post Benedicamus, top margin of folio 73r) or as a variant of ""post b Mag"" (folio 104r) or ""p Magnif."" (folio 41v). Many of the antiphons indicated by these rubrics have the character of memorials. In addition to their positition at the end of Lauds and Vespers, the texts also suggest memorials. These antiphons include Christmas chants found on the feasts of Stephen, John the Evangelist and Holy Innocents; moreover, the chant on the first Sunday of Advent, Ecce dominus veniet (cao2509), is often used in Office books to commemorate All Saints during this season of the liturgical year. In some cases, these antiphons do not suggest memorials as clearly, for example, Quam pulchra es (cao4434) on the feast of the Assumption and Domine si tu es (cao2387) on the feast of Peter&rsquo;s Chair. Both of these chants are typical of the prevailing feast. However, because of their position and how they are marked in the manuscript (in the same way as chants that seem less ambiguous), these chants have provisionally been identified as memorials. It may be that these antiphons were intended for use as memorials during the octaves of these feasts, but no clear indication is given in the manuscript.The index for this manuscript was drafted using Möller&rsquo;s facsimile, in which differentia formulas are very difficult to read. Accordingly when present, differentia are indicated by question marks.Modes for responsories are provisional; they are being proposed according to an analysis of the neume patterns found in responsory verses and the modal designations of corresponding responsories in other sources represented in the database. This analysis has demonstrated that the standard verse tones are consistently represented within these leaves by neume patterns distinctive for each mode. Because of their provisional nature, all mode numbers for responsories in the file are followed by a question mark. Where there is any ambiguity (such as in cases where a non-standard tone is given for a verse or where the verse cannot be sufficiently read), a mode has not been assigned.Chants not found in CAO have been assigned arbitrary numbers beginning with &ldquo;que&rdquo;.",D-B,1000s,11th century,century_1000_1099,Quedlinburg,Quedlinburg,provenance_133,cantus,"Eleventh-century antiphoner. Secular cursus. Late Carolingian minuscule script. Non-diastematic neumatic notation. Light to medium brown ink used for text and neumes; red ink used for rubrics, initials, etc. Leaves approximately 25 x 19 cm. Prefaced by liturgical calendar. 144 folios.",The index for D-B Mus. 40047 was prepared by Kate Helsen (Universität Regensburg) with editorial assistance from Elizabeth Sander and Andrew Mitchell (University of Western Ontario).,"Ff. 1-6: Calendar.
Ff. 7-75: Winter Temporale and Sanctorale.
007r, Advent; 10r, Lucy; 17r, Christmas; 021r, Stephen; 023r, John the Evangelist; 024v, Holy Innocents; 027r, Epiphany; 031r, 033v, Fabian and Sebastian; 035v, Agnes; 037v, Purification of Mary; 039r, Agatha; 040v, Scholastica; 041v, Benedict; 042v, Septuagesima; 047r, Ash Wednesday; 056r, Passion Sunday; 058v, Palm Sunday; 060r, Holy Week; 064v, Triduum.
Ff. 76-120: Summer Temporale and Sanctorale.
067r, Easter; 075v, Common of several Martyrs, Eastertide; 076v, Philip and James; 077v, Inventio Crucis; 078v, Alexander and Eventius; 079r, Servatius; 081v, Ascension; 083v, Pentecost; 086r, John the Baptist; 087v, John and Paul; 088v, Peter; 091r, Paul; 093r, Translation of Justa; 093r, Finding of Stephen's relics; 095r, Laurence; 097v, Assumption of Mary; 099v, Passion of Laurentia; 100r, Beheading of John the Baptist; 101r, Nativity of Mary; 104r, Holy Cross; 104v, Maurice and Companions; 106r, Michael the Archangel; 108v, Dionysii; 111r, All Saints; 112v, Martin; 114v, Cecilia; 116r, Clement; 116v, Andrew; 118v, Common of Saints; 129r, Dedication of a Church; 131r, Trinity Sunday; 133v, Summer Histories; 142r, Sundays after Pentecost.",23 February 2006,http://cantus.uwaterloo.ca/source/123688
source_090,"New York, Columbia University, Rare Book and Manuscript Library",,US-NYcub,,,,,Franciscan,,cantus,,,,,http://cantus.uwaterloo.ca/source/683940
source_091,"Berlin, Staatsbibliothek Preussischer Kulturbesitz, th.lat.4o  664",Lacuna between f. 177 and f. 178,D-B,12th c (Les Sources 34),12th century (2nd half),century_1150_1199,Trier region,Region of Trier,provenance_192,bower,,,,,http://cantus.uwaterloo.ca/source/123916
source_092,"Roma, Biblioteca Vallicelliana, C.5","Despite its long association with the monastery of Sant&#39;Eutizio (in the Vallecastoriana region of Umbria, near present-day Preci, Italy), paleographic evidence suggests that C.5 was originally produced in Rome. The script, a carolina romana of the later eleventh century, and the notation, ""transistional"" type often called ""italo-beneventaine,"" both suggest that the manuscript originated in Rome; indeed, script and notation are quite similar to those of the Old Roman Antiphoner (Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, Archivio San Pietro B.79). The manuscript appears to have been used by the nuns at San Sisto Vecchio until they came under the care of the Dominican Order in 1219. It seems then to have been sent to the monastery of Sant&#39;Eutizio di Norcia, where numerous additions and corrections were made. Analysis of these indicates that C.5 was revised to conform to liturgical practice of Rome, Biblioteca vallicelliana C.13, a notated breviary containing the Winter Temporale and Sanctorale according to the use of Sant&#39;Eutizio. A catalogue of the first 150 folios of C.5 (accompanied by a catalogue of the entire contents of C.13) appears in the dissertation of Jacob Carl Ledwon. The manuscript contains a large number of chants that are not to be found in Hesbert&#39;s >Corpus Antiphonalium Officii: these include verses and prosulae for CAO responsories, as well as entire Offices not present in CAO. Verses or prosulae associated with CAO responsories but not actually included in that resource have been assigned CAO numbers corresponding to those of their parent chants; the numbers for all other chants not found in CAO are prefixed by ""rva"". Differentiae are numbered arbitrarily.",I-Rv,1000s+,11th century,century_1000_1099,Roma,Roma,provenance_145,cantus,"Notated Antiphoner, from the late eleventh or early twelfth century. Written at Rome, used until 1219 by the Benedictines of San Sisto (now San Sisto on the Via Appia), then taken to Sant'Eutizio di Norcia. 19 x 32 cm. Italian neumes on a four-line drypoint staff; red F-line; C-clef. Monastic cursus. 310 folios; beginning fascicle missing.",The index for I-Rv C.5 was prepared at The Catholic University of America by Denise Gallo with the assistance of Keith Glaeske.,"Ff. 1r-150v: Winter Temporale and Sanctorale. 1v, Third Sunday of Advent; 12r-15r, Sabas; 21r-23v, Gregory of Spoleto; 23v, Victoria; 26r, Christmas; 35r, Stephen; 46v-50r, Silvester; 61v-67v, Ferial Office; 69r- 71r, Maurus; 78v, Conversion of Paul; 103r, Septuagesima; 110r, Ash Wednesday; 142v, Maundy Thursday.
Ff. 150v-215v: Summer Temporale. 150v, Easter; 172v, Ascension; 176r, Pentecost; 181v, Summer Histories (Kings only); 186r-192v, Sundays after Pentecost; 192v-193r, Antiphons ""Ad Benedicite;"" 193r-211v, Summer Histories (Wisdom to Prophets); 211v, Trinity.
Ff. 215v-277r: Summer Sanctorale, from John the Baptist to Andrew. 223r, Paul; 226r, Laurence; 250r, Cosmas and Damian; 258r, All Saints; 261r, Dedication of St. Savior's.
Ff. 277v-281r: Dedication of a Church. Ff. 281r-305v: Common of Saints (299v-301r, Eutitio; 301v, Common of Abbots). 305v: Office of the Dead. 310v: Sixtus.",by 1997,http://cantus.uwaterloo.ca/source/123635
source_093,"Sankt Gallen, Stiftsbibliothek, 390","Together with CH-SGs 391, this manuscript forms a complete antiphoner written and illuminated by the St. Gall monk Hartker in his recluse cell near St. Gall. He moved to the cell in 986 and stayed there until his death in 1011. 

The antiphoner was written for the male, Benedictine abbey of St. Gall, and is one of the earliest extant neumed antiphoners. The manuscripts are known for their script, neumes, and illuminations. Originally written as a single book, it was divided into two volumes in the mid-thirteenth century. Around this time, there were also some additions to the manuscript by another hand in Carolingian miniscule script (pp. 7-10).

This volume (390) contains chants from Advent until Easter, as well as a fragmented tonary. The tonary is divided between the Winter (390) and Summer (391) volumes and is missing some pages. Reconstructed in their original order, the tonary is as follows: pp. 1-2, 195-202 (1-8 of CH-SGs 391), 457-458 (263-264 of CH-SGs 391), 3-4, 193-194, 187-188, 455-456 (261-262 of CH-SGs 391), 5-6. An outline of the distribution of the tonary between the two volumes is handwritten on the inside fly-leaf of CH-SGs 390.

The manuscript includes a handwritten notes and a description of the antiphoner in Latin, written in two different hands on the inside front cover, and a stamp of the St. Gall coat of arms on p. 15. Tonary letters are written in the margins, and are transcribed in the differentia field of the index. Pages were numbered in pencil in the upper outside corners of the manuscript, after the division of the antiphoner into two volumes. The manuscript includes various illuminated letters and four coloured pen drawings: dedication of St. Gall receiving the book from Hartker (p. 11); St. Gregory with his dove dictating the chants to a scribe (p. 13); Last Supper (p. 183); and Christ washing St. Peter's feet (p. 186).",CH-SGs,0980+,10th century (975-1000),century_0975_0999,St. Gallen,St. Gallen,provenance_174,cantus,"Late tenth-century manuscript from the abbey of St. Gall, also known as the Winter volume of the Hartker Antiphoner. 194 pages. 220 x 165 cm. Torn pages at the end of the manuscript (pp. 190a-d, 192a-b). Adiastematic neumes. Monastic cursus.","The inventory for CH-SGs 390 was prepared by Kate Helsen (The University of Western Ontario), with editorial assistance from Andrew Mitchell (The University of Western Ontario) and Debra Lacoste (The University of Western Ontario). Manuscript description written by Rebecca Shaw (Dalhousie University).","Pp. 1-5, 187-189, 193-194: Tonary (fragmented)

Pp. 6-10: Additions from the twelfth and thirteenth century: p. 6, Nicholas; p. 6, Annunciation; p. 7, Thomas; p. 7, Christmas Eve; p. 8, John the Evangelist; p. 8, Epiphany; p. 9, Annunciation of Mary

Pp. 14-185 : Temporale and Sanctorale: p. 14, Advent; p. 26, Lucy (Lucia); p. 41, Christmas Eve; p. 44, Christmas Day; p. 52, Stephen; p. 60, John the Evangelist; p. 64, Holy Innocents; p. 72, Epiphany; p. 83, Ferial Office; p. 101, Trinity Sunday; p. 105, Pope Fabian and Sebastian; p. 110, Agnes; p. 115, Purification of Mary; p. 120, Agatha; p. 125, Gregory the Great; p. 127, Benedict; p. 132, Annunciation of Mary; p. 134, Septuagesima; p. 136, Sexagesima; p. 139, Quinquagesima; p. 142, Ash Wednesday; p. 143, Lent; p. 164, Passion Sunday; p. 170, Palm Sunday

Pp. 189-190: Common of the Saints: p. 189, Common of the Apostles; p. 189, Memorial Chants; p. 190, Common of one Confessor; p. 190, Common of the Virgins.

Pp. 191-192: Alleluias",27 January 2008; MS description uploaded 16 Nov 2019;,http://cantus.uwaterloo.ca/source/123717
source_094,"Šibenik, Franciscan Monastery, sine signo",,HR-ŠIBf,1050-70 (Hana Breko),11th century (1050-1075),century_1050_1074,Tegernsee,"Tegernsee, forPula, St. Thomas Basilica — in Istria",provenance_184,bower,,,,,http://cantus.uwaterloo.ca/source/123831
source_095,"Berlin, Deutsche Staatsbibliothek, mus. 40 078 (Z. 78)","Otto Drinkwelder. Ein deutsches Sequentiar aus dem Ende des 12. Jahrhunderts, Veröffentlichungen der Gregorianischen Akademie zu Freiburg in der Schweiz. Graz and Vienna, 1914.",D-Bds,12th century (cd=cmb),12th century (2nd half),century_1150_1199,Quedlinburg,Quedlinburg,provenance_133,bower,,,,,http://cantus.uwaterloo.ca/source/123917
source_096,"Montréal, McGill University - Humanities and Social Sciences Library McLennan-Redpath, MS medieval 186 (fragment)","""In Latin, on vellum, one leaf, text in Gothic Textualis. 14th century, from Italy. 321x227 mm.; writing surface 210x160 mm. Two columns, 26 lines, brown ink, red rubrics. On the recto there is one six-line initial (L), in ultramarine, light-brown, brown, and red, decorated with gold leaf disks. The stem extends along the left margin ending with acanthus leaves. Three, three-line initials in red and blue ink, alternatively, surrounded by curlicues, spirals and bars. 
 
Contents. Mass for the Thursday (Feria V) after the fourth Sunday in Quadragesima (the first Sunday in Lent). Introit: Laetetur cor quaerentium Dominum... Collect: Praesta quaesumus omnipotens Deus.... Epistle: (4 Kings 4: 25-35) In diebus illis venit mulier... ""

(Holland, Anne Marie, compiler. ""MS Medieval 186."" Long Descriptions Ms Medieval Manuscript Antiphonals, Missals and Graduals. Digitization and Cataloguing Project- Antiphonals, Missals and Gradual. Updated December 6, 2018), 24.",CDN-Mlr,,14th century,century_1300_1399,Italy,,provenance_071,cantus,"Missal, one leaf, 14th century",,,,http://cantus.uwaterloo.ca/source/693636
source_097,"München, Bayerische Staatsbibliothek, Clm 23 044","Note:  Folio numbers in this record are based on the old numbers, written in dark black ink at top of folios – Not the newer pencil numbers written in upper right hand corners.",D-Mbs,ca. 1500,16th century (1500-1525),century_1500_1524,Ebersberg,Ebersberg,provenance_044,bower,,,,,http://cantus.uwaterloo.ca/source/124078
